;;;weiblich;männlich;
0 - 4;1999;Krebs gesamt (C00-C97 ohne C44);2,2;3,2;
0 - 4;2000;Krebs gesamt (C00-C97 ohne C44);2,3;3,0;
0 - 4;2001;Krebs gesamt (C00-C97 ohne C44);2,9;3,3;
0 - 4;2002;Krebs gesamt (C00-C97 ohne C44);3,1;2,0;
0 - 4;2003;Krebs gesamt (C00-C97 ohne C44);2,5;2,6;
0 - 4;2004;Krebs gesamt (C00-C97 ohne C44);3,1;3,2;
0 - 4;2005;Krebs gesamt (C00-C97 ohne C44);2,1;2,9;
0 - 4;2006;Krebs gesamt (C00-C97 ohne C44);2,2;2,9;
0 - 4;2007;Krebs gesamt (C00-C97 ohne C44);2,7;3,5;
0 - 4;2008;Krebs gesamt (C00-C97 ohne C44);1,6;3,0;
0 - 4;2009;Krebs gesamt (C00-C97 ohne C44);2,2;2,6;
0 - 4;2010;Krebs gesamt (C00-C97 ohne C44);1,7;1,9;
0 - 4;2011;Krebs gesamt (C00-C97 ohne C44);2,5;2,6;
0 - 4;2012;Krebs gesamt (C00-C97 ohne C44);2,6;2,2;
0 - 4;2013;Krebs gesamt (C00-C97 ohne C44);2,0;2,1;
0 - 4;2014;Krebs gesamt (C00-C97 ohne C44);2,2;2,3;
0 - 4;2015;Krebs gesamt (C00-C97 ohne C44);1,7;2,0;
0 - 4;2016;Krebs gesamt (C00-C97 ohne C44);1,7;2,4;
0 - 4;2017;Krebs gesamt (C00-C97 ohne C44);1,9;1,8;
0 - 4;2018;Krebs gesamt (C00-C97 ohne C44);1,8;2,3;
0 - 4;2019;Krebs gesamt (C00-C97 ohne C44);2,0;2,5;
5 - 9;1999;Krebs gesamt (C00-C97 ohne C44);2,5;3,5;
5 - 9;2000;Krebs gesamt (C00-C97 ohne C44);2,4;2,9;
5 - 9;2001;Krebs gesamt (C00-C97 ohne C44);2,3;2,7;
5 - 9;2002;Krebs gesamt (C00-C97 ohne C44);2,2;2,3;
5 - 9;2003;Krebs gesamt (C00-C97 ohne C44);2,2;3,2;
5 - 9;2004;Krebs gesamt (C00-C97 ohne C44);1,9;2,5;
5 - 9;2005;Krebs gesamt (C00-C97 ohne C44);2,1;3,1;
5 - 9;2006;Krebs gesamt (C00-C97 ohne C44);2,1;2,6;
5 - 9;2007;Krebs gesamt (C00-C97 ohne C44);1,4;2,6;
5 - 9;2008;Krebs gesamt (C00-C97 ohne C44);2,3;2,3;
5 - 9;2009;Krebs gesamt (C00-C97 ohne C44);1,8;2,5;
5 - 9;2010;Krebs gesamt (C00-C97 ohne C44);2,0;2,1;
5 - 9;2011;Krebs gesamt (C00-C97 ohne C44);2,0;2,3;
5 - 9;2012;Krebs gesamt (C00-C97 ohne C44);1,8;2,7;
5 - 9;2013;Krebs gesamt (C00-C97 ohne C44);2,4;3,0;
5 - 9;2014;Krebs gesamt (C00-C97 ohne C44);1,6;2,7;
5 - 9;2015;Krebs gesamt (C00-C97 ohne C44);1,8;2,4;
5 - 9;2016;Krebs gesamt (C00-C97 ohne C44);2,3;2,2;
5 - 9;2017;Krebs gesamt (C00-C97 ohne C44);1,9;2,3;
5 - 9;2018;Krebs gesamt (C00-C97 ohne C44);1,9;2,3;
5 - 9;2019;Krebs gesamt (C00-C97 ohne C44);2,3;2,5;
10 - 14;1999;Krebs gesamt (C00-C97 ohne C44);1,5;3,4;
10 - 14;2000;Krebs gesamt (C00-C97 ohne C44);2,4;2,8;
10 - 14;2001;Krebs gesamt (C00-C97 ohne C44);2,5;2,4;
10 - 14;2002;Krebs gesamt (C00-C97 ohne C44);1,9;2,4;
10 - 14;2003;Krebs gesamt (C00-C97 ohne C44);1,9;2,7;
10 - 14;2004;Krebs gesamt (C00-C97 ohne C44);1,8;2,1;
10 - 14;2005;Krebs gesamt (C00-C97 ohne C44);2,4;2,5;
10 - 14;2006;Krebs gesamt (C00-C97 ohne C44);2,1;2,4;
10 - 14;2007;Krebs gesamt (C00-C97 ohne C44);2,0;2,4;
10 - 14;2008;Krebs gesamt (C00-C97 ohne C44);2,2;2,6;
10 - 14;2009;Krebs gesamt (C00-C97 ohne C44);2,5;2,5;
10 - 14;2010;Krebs gesamt (C00-C97 ohne C44);1,6;2,2;
10 - 14;2011;Krebs gesamt (C00-C97 ohne C44);1,9;3,1;
